序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,老式双低,新式双低,MA20乖离,热门度,转债名称,
98,天路转债,110060,2019-11-28,西藏天路,600326,建筑,水泥,112.66,0.45%,-0.54%,7.12,-0.14%,7.7,0.6%,115.3,7.24,1.82,98.34,14.6%,转股中,5.38年,3.38年,17.6%,17.3%,11,62,0.44%,-0.07%,-2.31%,-2.51%,88.70,91.04,22.81,113.84,-1.0%,44%,15%,16%,0.61,AA,4.59%,127.0,35.9,2.0%,15,天路转债,
199,博世转债!,123010,2018-08-14,博世科,300422,城市公用,三废处理,111.15,-0.04%,-0.56%,10.93,-1.26%,1.8,0.4%,112.9,12.28,2.26,89.01,24.9%,转股中,4年22天,2年22天,11.1%,9.8%,4.3,39,0.39%,-0.19%,-3.23%,-3.51%,92.35,92.09,15.47,107.56,3.3%,40%,22%,17%,0.48,AA-,5.27%,133.3,40.9,-1.2%,25,博世转债!,
27,联创转债!,128101,2020-04-13,联创电子,002036,电子,液晶显示,112.996,-0.26%,-0.68%,11.64,-2.27%,4.7,1.4%,115.1,14.48,3.58,80.39,40.6%,3月10天,5.76年,3.76年,2.8%,2.2%,3.0,108,0.33%,-0.14%,-2.21%,-2.38%,87.00,89.30,13.64,102.94,9.8%,56%,30%,17%,0.41,AA,4.59%,145.6,56.3,-11.2%,15,联创转债!,
42,桐20转债!,113032,2020-03-20,桐昆股份,601233,服装纺织,纺织行业,111.08,0.78%,-1.40%,12.42,-1.35%,13,0.5%,113.1,14.58,1.22,85.19,30.4%,2月26天,5.72年,3.72年,10.0%,8.5%,23,230,0.32%,-0.10%,-1.79%,-1.97%,88.77,90.30,14.42,104.73,6.1%,49%,23%,16%,0.46,AA+,4.09%,137.0,46.7,1.9%,23,桐20转债!,
200,湖广转债!,127007,2018-08-01,湖北广电,000665,传媒娱乐,影视娱乐,111.801,-0.17%,-0.66%,5.4,-1.64%,9.1,0.7%,113.1,5.61,0.81,96.26,16.1%,转股中,4年15天,2年15天,22.9%,22.1%,12,53,0.29%,-0.30%,-3.44%,-3.74%,95.58,97.75,15.92,113.67,-1.6%,45%,15%,17%,0.51,AA+,3.77%,127.3,29.6,-2.2%,18,湖广转债!,
93,利德转债!,123035,2019-12-09,利亚德,300296,电子,LED行,113.896,1.10%,-1.57%,5.81,-1.19%,14,1.6%,115.6,6.98,1.76,83.24,36.8%,转股中,5.42年,3.42年,5.4%,4.5%,8.0,148,0.28%,-0.23%,-2.51%,-2.72%,90.32,93.47,12.70,106.17,7.3%,50%,26%,17%,0.40,AA+,4.09%,144.6,51.1,-1.1%,18,利德转债!,
229,众信转债!,128022,2017-12-28,众信旅游,002707,旅游餐饮,旅游,109.001,0.95%,1.23%,7.22,4.79%,21,2.8%,109.8,7.91,3.01,91.28,19.4%,转股中,3.47年,1.47年,11.0%,10.1%,7.0,63,0.21%,-0.31%,-3.69%,-3.98%,95.83,95.25,12.87,108.12,0.8%,46%,22%,17%,0.46,AA,4.27%,126.7,30.9,18.1%,27,众信转债!,
220,蒙电转债!,110041,2018-01-09,内蒙华电,600863,能源电力,电力供应,109.9,-0.05%,-0.40%,2.5,-1.19%,7.0,0.3%,110.3,2.82,1.23,88.65,24.0%,转股中,3.53年,1.53年,12.9%,11.4%,19,145,0.11%,-0.44%,-3.90%,-4.20%,97.39,98.70,8.85,107.55,2.2%,25%,20%,16%,0.38,AAA,3.27%,131.1,32.4,-3.0%,9,蒙电转债!,
129,三星转债,113536,2019-06-24,XD三星新,603578,家电,零部件制,114.16,-0.57%,0.32%,20.86,-0.38%,2.6,1.2%,114.8,19.54,3.01,106.76,6.9%,转股中,4.96年,2.96年,10.2%,10.9%,1.9,19,0.11%,-0.42%,-3.17%,-3.36%,90.72,93.62,28.16,121.78,-6.3%,41%,10%,18%,0.65,AA,4.27%,121.6,27.9,-3.2%,42,三星转债,
234,久立转2!,128019,2017-12-01,久立特材,002318,石油天然,石油天然,109.438,-0.14%,-0.07%,7.11,-0.42%,4.4,0.4%,109.8,7.62,1.81,93.31,17.3%,转股中,3.41年,1.41年,17.4%,16.2%,10,60,0.10%,-0.44%,-4.08%,-4.38%,96.08,95.50,13.85,109.35,0.1%,35%,18%,17%,0.49,AA,4.27%,125.6,29.5,1.5%,14,久立转2!,
33,华安转债,110067,2020-04-09,华安证券,600909,金融,证券行业,109.96,0.27%,-0.59%,6.99,-0.85%,17,0.6%,110.5,8.77,1.86,79.70,38.0%,3月7天,5.75年,无权,11.1%,8.8%,28,253,0.09%,-0.25%,无权,无权,无权,90.45,11.81,102.26,7.5%,39%,28%,18%,0.38,AAA,3.59%,140.2,49.8,-1.7%,24,华安转债,
79,木森转债,128084,2020-01-10,木林森,002745,电子,LED行,116.766,-0.22%,-0.12%,12.92,-0.54%,14,0.5%,117.3,12.80,1.59,100.94,15.7%,9天,5.51年,3.51年,16.1%,16.3%,27,165,0.08%,-0.47%,-3.18%,-3.37%,88.17,92.05,24.29,116.34,0.4%,58%,17%,16%,0.62,AA,4.59%,132.6,40.5,0.2%,23,木森转债,
101,索发转债,113547,2019-11-22,索通发展,603612,其他,其他,118.65,-0.13%,-0.32%,11.1,-0.72%,2.7,0.2%,119.1,10.67,1.49,104.03,14.1%,转股中,5.36年,3.36年,24.7%,25.7%,9.5,38,0.07%,-0.55%,-3.59%,-3.82%,89.32,94.15,26.44,120.58,-1.6%,60%,15%,17%,0.63,AA,4.59%,133.3,39.1,-0.6%,12,索发转债,
128,中环转债,123026,2019-07-01,中环环保,300692,城市公用,三废处理,110.5,0.01%,-1.37%,12.03,-2.27%,2.7,1.0%,110.6,12.31,2.19,97.73,13.1%,转股中,3.99年,1.99年,11.7%,11.4%,2.3,20,0.02%,-0.47%,-3.32%,-3.56%,92.04,90.43,22.45,112.88,-2.1%,64%,14%,18%,0.60,AA-,5.27%,123.3,31.2,-0.9%,33,中环转债,
31,三祥转债!,113572,2020-04-09,三祥新材,603663,其他,其他,113.09,0.30%,0.13%,14.06,0.57%,1.4,0.6%,113.2,14.19,4.82,99.08,14.1%,3月7天,5.75年,3.75年,7.7%,7.6%,2.1,27,0.02%,-0.40%,-2.21%,-2.39%,78.95,76.16,37.14,113.30,-0.2%,45%,18%,17%,0.76,A+,7.29%,127.1,48.1,-0.3%,14,三祥转债!,
152,伊力转债!,110055,2019-04-04,伊力特,600197,食品饮料,白酒,114.99,1.42%,4.25%,16.94,10.0%,117,11.7%,115,17.25,2.75,98.20,17.1%,转股中,4.75年,2.75年,11.9%,11.7%,8.8,74,0.00%,-0.56%,-3.57%,-3.79%,91.72,94.64,19.71,114.36,0.6%,41%,23%,16%,0.57,AA,4.27%,131.8,37.1,14.5%,29,伊力转债!,
249,广汽转债!,113009,2016-02-04,广汽集团,601238,汽车,乘用车,107.6,0.38%,-0.38%,9.45,-0.21%,6.4,0.2%,107.5,14.41,1.21,65.58,64.1%,转股中,1.61年,回售中,2.6%,1.7%,25,967,-0.06%,-0.93%,回售中,回售中,100.25,102.40,0.07,102.47,5.0%,37%,37%,15%,0.01,AAA,3.09%,149.6,47.2,-1.9%,14,广汽转债!,
114,九洲转债,123030,2019-09-12,九洲电气,300040,能源电力,电力设备,120.935,-0.47%,-0.54%,6.75,-1.32%,32,8.5%,120.5,5.70,1.18,118.42,2.1%,转股中,5.19年,3.19年,13.3%,15.8%,3.1,23,-0.07%,-0.75%,-4.45%,-4.66%,86.88,91.45,40.55,132.00,-8.4%,43%,<2%,18%,0.76,AA-,5.59%,123.4,32.0,2.8%,35,九洲转债,
227,特一转债!,128025,2017-12-28,特一药业,002728,医药,化学制药,110.3,1.30%,-0.08%,14.68,2.02%,38,11.5%,109.8,14.70,2.58,99.86,10.5%,转股中,3.48年,1.48年,10.0%,10.0%,3.0,30,-0.13%,-0.66%,-4.36%,-4.64%,94.29,92.14,20.77,112.91,-2.3%,30%,15%,17%,0.61,AA-,5.27%,120.7,26.4,4.6%,43,特一转债!,
71,至纯转债,113556,2020-01-09,至纯科技,603690,机械装备,专用设备,127.86,0.04%,-1.33%,31.96,-1.72%,11,2.5%,126.8,29.47,5.99,108.45,17.9%,13天,5.52年,3.52年,4.3%,4.7%,3.6,82,-0.15%,-0.94%,-5.33%,-5.55%,81.05,86.76,37.92,124.68,2.6%,64%,19%,16%,0.75,A+,7.29%,147.3,60.5,-5.5%,13,至纯转债,
80,明阳转债!,113029,2020-01-07,明阳智能,601615,能源电力,风能,114.54,-0.29%,0.19%,12.01,-0.17%,25,1.3%,113.3,12.58,2.42,95.47,20.0%,9天,5.51年,3.51年,10.3%,9.8%,17,166,-0.20%,-0.64%,-2.67%,-2.86%,88.17,88.93,22.95,111.88,2.4%,53%,22%,17%,0.59,AA,4.59%,133.6,44.7,0.5%,25,明阳转债!,
49,柳药转债,113563,2020-02-24,柳药股份,603368,医药,医药商业,114.52,-0.42%,0.26%,32.81,-0.27%,4.5,0.5%,113.2,34.94,1.86,93.90,22.0%,39天,5.59年,3.59年,9.4%,8.9%,8.0,85,-0.21%,-0.64%,-2.63%,-2.81%,87.74,88.49,21.43,109.92,4.2%,38%,23%,16%,0.59,AA,4.59%,135.1,46.6,1.7%,17,柳药转债,
154,浙商转债!,113022,2019-03-28,浙商证券,601878,金融,证券行业,111,0.45%,-0.75%,9.73,-0.92%,29,0.7%,109.8,12.37,2.21,78.66,41.1%,转股中,4.75年,无权,10.8%,8.5%,35,324,-0.23%,-0.62%,无权,无权,无权,94.53,9.01,103.53,7.2%,47%,29%,18%,0.33,AAA,3.27%,143.3,48.8,-1.3%,24,浙商转债!,
94,川投转债,110061,2019-12-02,川投能源,600674,能源电力,水电,112.61,0.36%,-0.36%,9.09,0.00%,20,0.4%,111,9.92,1.48,91.63,22.9%,转股中,5.41年,3.41年,10.0%,9.2%,40,400,-0.27%,-0.64%,-2.35%,-2.53%,91.32,92.03,16.49,108.52,3.8%,19%,20%,16%,0.51,AAA,3.59%,133.6,41.6,2.1%,18,川投转债,
5,全筑转债,113578,2020-05-19,全筑股份,603030,建筑,装饰工程,120.91,-0.84%,-0.28%,5.9,-1.67%,8.1,1.7%,118.3,5.47,1.47,107.86,12.1%,4月15天,5.85年,3.85年,12.1%,13.0%,3.8,32,-0.38%,-0.92%,-3.76%,-3.93%,86.82,91.42,31.21,122.62,-1.4%,73%,16%,17%,0.67,AA,4.59%,134.0,42.5,-0.5%,6,全筑转债,
209,长证转债!,127005,2018-04-11,长江证券,000783,金融,证券行业,111.653,0.33%,-0.14%,6.33,0.48%,25,0.4%,109.3,7.28,1.28,86.95,28.4%,转股中,3.75年,无权,14.3%,12.4%,50,350,-0.58%,-1.04%,无权,无权,无权,97.11,10.30,107.41,3.9%,34%,25%,18%,0.39,AAA,3.27%,136.4,39.2,1.1%,17,长证转债!,
61,汽模转2,128090,2020-01-23,天汽模,002510,汽车,零部件制,118.9,-0.20%,-1.83%,4.44,-3.06%,31,5.5%,115.2,4.19,1.53,105.97,12.2%,16天,5.54年,3.54年,11.5%,12.2%,4.7,41,-0.58%,-1.06%,-3.66%,-3.84%,87.95,90.27,30.68,120.95,-1.7%,47%,14%,18%,0.66,AA,4.59%,131.8,41.6,-1.0%,30,汽模转2,
25,天铁转债,123046,2020-04-17,天铁股份,300587,铁路,铁路设备,122.36,-0.52%,-1.00%,18.95,-2.07%,6.2,1.3%,118.2,17.35,3.29,109.22,12.0%,3月14天,5.76年,3.76年,11.6%,12.7%,4.0,34,-0.61%,-1.15%,-4.06%,-4.25%,84.27,86.97,36.68,123.65,-1.0%,55%,15%,17%,0.73,AA-,5.59%,135.5,48.5,3.6%,7,天铁转债,
78,仙鹤转债,113554,2020-01-10,仙鹤股份,603733,造纸包装,造纸行业,122.44,0.54%,-0.74%,15.97,-0.25%,18,1.2%,118.3,13.27,2.63,120.35,1.7%,9天,5.51年,3.51年,12.8%,15.4%,13,98,-0.63%,-1.20%,-4.47%,-4.65%,88.01,92.80,38.78,131.58,-6.9%,47%,<2%,16%,0.78,AA,4.59%,124.5,31.7,4.0%,16,仙鹤转债,
91,常汽转债,113550,2019-12-12,常熟汽饰,603035,汽车,零部件制,126.22,-0.29%,-0.92%,12.42,-1.51%,27,2.3%,121.8,9.93,1.30,125.08,0.9%,转股中,5.43年,3.43年,26.9%,33.6%,9.4,35,-0.67%,-1.34%,-5.12%,-5.35%,86.33,91.30,46.49,137.79,-8.4%,40%,<2%,17%,0.80,AA-,5.59%,127.4,36.1,9.6%,19,常汽转债,
184,利尔转债!,128046,2018-11-09,利尔化学,002258,石油天然,农化,116.369,0.38%,0.32%,17.62,1.32%,6.2,0.6%,112.9,18.62,2.85,94.63,23.0%,转股中,4.35年,2.35年,9.2%,8.7%,8.5,92,-0.71%,-1.24%,-4.64%,-4.88%,93.20,94.51,16.74,111.25,4.6%,43%,25%,16%,0.53,AA,4.27%,138.1,43.6,11.6%,11,利尔转债!,
11,华统转债,128106,2020-05-08,华统股份,002840,农业,农产品加,118,-0.53%,0.62%,15.8,0.13%,6.8,1.0%,113.2,15.07,2.83,104.84,12.5%,4月5天,5.82年,3.82年,12.5%,13.1%,5.5,44,-0.72%,-1.13%,-3.21%,-3.38%,86.83,87.58,30.24,117.82,0.2%,48%,18%,16%,0.70,AA,4.59%,131.2,43.6,-5.4%,6,华统转债,
150,亨通转债!,110056,2019-04-16,亨通光电,600487,通信互联,通信设备,119.18,0.41%,-1.20%,16.52,-1.26%,10,0.5%,114.8,15.66,2.35,105.49,13.0%,转股中,4.76年,2.76年,5.3%,5.6%,17,323,-0.80%,-1.34%,-4.80%,-5.00%,92.77,96.55,23.03,119.58,-0.3%,47%,15%,16%,0.63,AA+,3.77%,132.9,36.3,-1.3%,32,亨通转债!,
110,远东转债,128075,2019-10-31,远东传动,002406,汽车,零部件制,120.101,-0.17%,-1.37%,6.52,-2.10%,7.6,0.7%,115.2,5.79,1.34,112.61,6.7%,转股中,5.28年,3.28年,24.4%,27.5%,8.9,37,-0.80%,-1.31%,-4.21%,-4.40%,88.99,91.33,33.88,125.21,-4.1%,30%,9%,17%,0.73,AA,4.59%,127.6,36.3,4.0%,19,远东转债,
47,恩捷转债!,128095,2020-02-28,恩捷股份,002812,电子,元器件制,120.602,-0.11%,-0.91%,61.9,-1.75%,16,0.8%,115.3,64.49,10.89,95.98,25.6%,2月5天,5.67年,3.67年,3.2%,3.1%,16,499,-0.80%,-1.28%,-3.88%,-4.05%,87.56,89.86,23.12,112.97,6.8%,71%,26%,17%,0.58,AA,4.59%,145.2,55.4,4.2%,18,恩捷转债!,
45,宏辉转债,113565,2020-03-16,宏辉果蔬,603336,农业,农产品加,123.95,-1.05%,-0.98%,12.47,-2.43%,74,17.9%,118.2,10.00,3.16,124.70,-0.6%,2月22天,5.71年,3.71年,8.1%,10.2%,3.3,41,-0.85%,-1.39%,-4.45%,-4.64%,84.54,87.24,48.24,135.48,-8.5%,62%,<2%,16%,0.84,AA-,5.59%,123.2,36.0,-17.5%,12,宏辉转债,
230,兄弟转债!,128021,2017-12-27,兄弟科技,002562,医药,原料药,113.5,-0.61%,-0.25%,5.17,-1.52%,5.1,0.9%,109.8,5.25,2.21,98.48,15.3%,转股中,3.46年,1.46年,10.8%,10.7%,5.1,47,-0.97%,-1.49%,-6.09%,-6.37%,95.86,95.28,16.52,111.80,1.5%,55%,19%,16%,0.56,AA,4.27%,128.5,32.7,-1.7%,13,兄弟转债!,
64,联得转债,123038,2020-01-22,联得装备,300545,机械装备,专用设备,125.799,0.28%,0.81%,30.04,1.28%,18,7.2%,119.1,25.29,6.27,118.78,5.9%,18天,5.53年,3.53年,4.6%,5.5%,2.0,43,-1.00%,-1.59%,-4.98%,-5.19%,80.70,81.42,49.96,131.37,-4.2%,73%,13%,17%,0.85,A+,7.29%,132.8,51.4,2.9%,16,联得转债,
246,海印转债!,127003,2016-07-01,海印股份,000861,商业零售,商场,114.051,-0.34%,-1.10%,3.26,-2.40%,11,1.0%,111.8,3.01,2.07,108.31,5.3%,转股中,1.99年,回售中,12.9%,14.0%,9.4,73,-1.01%,-2.07%,回售中,回售中,100.30,103.31,14.16,117.47,-2.9%,31%,9%,16%,0.60,AA,4.09%,119.8,16.5,6.4%,85,海印转债!,
239,国君转债!,113013,2017-07-24,国泰君安,601211,金融,证券行业,112.81,-0.11%,0.09%,16.25,-0.06%,60,0.8%,109.3,19.40,1.18,83.76,34.7%,转股中,3年24天,无权,4.8%,4.1%,70,1448,-1.05%,-1.61%,无权,无权,无权,99.27,6.36,105.62,6.8%,29%,29%,17%,0.30,AAA,3.27%,141.9,42.6,1.6%,14,国君转债!,
1,龙蟠转债,113581,2020-05-19,龙蟠科技,603906,石油天然,化工,137.82,7.10%,2.14%,15.38,10.0%,2192,415%,129.6,9.48,3.37,162.24,-15.0%,4月18天,5.86年,3.86年,8.6%,13.9%,4.0,47,-1.07%,-1.87%,-6.24%,-6.52%,80.68,86.85,87.08,173.93,-20.8%,50%,<2%,17%,0.92,A+,7.29%,113.4,26.6,46.9%,11,龙蟠转债,
203,三力转债!,128039,2018-06-29,三 力 士,002224,机械装备,专用设备,114.721,0.53%,0.98%,6.21,2.14%,26,11.3%,109.8,5.83,2.01,106.52,7.7%,转股中,3.99年,1.99年,4.5%,4.8%,2.0,45,-1.11%,-1.56%,-5.11%,-5.32%,91.88,89.77,28.05,117.82,-2.6%,41%,15%,17%,0.71,AA-,5.27%,122.9,31.0,1.8%,19,三力转债!,
202,华通转债!,128040,2018-07-13,华通医药,002758,医药,医药商业,118.001,-4.64%,-0.31%,11.78,-7.54%,59,22.1%,112.9,11.29,3.91,104.34,13.1%,转股中,4年1.1天,2年1.1天,9.0%,9.4%,2.2,25,-1.12%,-1.70%,-5.97%,-6.25%,92.63,92.36,26.37,118.73,-0.6%,44%,18%,18%,0.66,AA-,5.27%,131.7,39.0,-0.5%,34,华通转债!,
16,东时转债,113575,2020-04-30,东方时尚,603377,其他,其他,121.11,0.46%,-0.68%,17.35,-0.29%,7.4,1.4%,113.5,14.76,5.93,117.55,3.0%,4月4天,5.82年,3.82年,4.2%,4.9%,4.3,102,-1.13%,-1.54%,-3.82%,-3.99%,86.96,87.85,40.37,128.22,-5.5%,43%,<2%,16%,0.79,AA,4.59%,124.7,36.8,6.7%,16,东时转债,
134,雅化转债!,128065,2019-05-10,雅化集团,002497,石油天然,化工,117.2,0.25%,-1.16%,8.37,-1.65%,12,1.3%,110.9,8.96,3.01,93.42,25.5%,转股中,4.84年,2.84年,10.0%,9.3%,8.0,80,-1.16%,-1.56%,-4.11%,-4.32%,91.28,90.93,18.53,109.46,7.1%,53%,26%,16%,0.55,AA,4.27%,141.0,49.7,3.1%,25,雅化转债!,
178,桐昆转债!,113020,2018-12-12,桐昆股份,601233,服装纺织,纺织行业,119.08,0.08%,-0.84%,12.42,-1.35%,23,0.6%,112.8,12.51,1.22,99.28,19.9%,转股中,4.44年,2.44年,15.1%,15.0%,35,230,-1.24%,-1.75%,-5.36%,-5.59%,93.90,96.04,18.44,114.48,4.0%,49%,22%,16%,0.56,AA+,3.77%,138.9,42.8,1.9%,16,桐昆转债!,
232,济川转债!,110038,2017-11-29,济川药业,600566,医药,中药,111.72,1.01%,0.67%,23.24,3.61%,5.1,0.7%,108.3,24.27,2.93,95.76,16.7%,转股中,2.42年,0.42年,3.3%,3.2%,6.3,189,-1.29%,-1.92%,-17.2%,-17.5%,98.71,98.41,9.83,108.24,3.2%,37%,24%,15%,0.47,AA,4.09%,127.7,29.0,5.0%,22,济川转债!,
111,桃李转债!,113544,2019-10-15,桃李面包,603866,食品饮料,休闲食品,124.35,1.06%,-0.42%,51.31,0.88%,16,1.3%,115.3,46.54,8.93,110.25,12.8%,转股中,5.27年,3.27年,3.0%,3.3%,10,338,-1.45%,-1.95%,-5.17%,-5.37%,89.12,91.46,31.15,122.62,1.4%,41%,19%,16%,0.72,AA,4.59%,138.5,47.0,3.1%,20,桃李转债!,
118,欧派转债,113543,2019-09-04,欧派家居,603833,其他,家居用品,124.33,0.10%,-0.03%,112.86,0.10%,9.8,0.5%,115.3,101.46,5.18,111.24,11.8%,转股中,5.18年,4.18年,3.2%,3.5%,15,474,-1.47%,-1.99%,-3.74%,-3.97%,87.22,91.86,31.56,123.42,0.7%,39%,19%,16%,0.72,AA,4.59%,137.4,45.6,-1.2%,17,欧派转债,
68,日月转债,113558,2020-01-14,日月股份,603218,机械装备,通用设备,125.39,0.55%,-0.46%,16.47,0.12%,7.4,0.5%,115.3,13.84,2.47,119.00,5.4%,14天,5.53年,3.53年,9.8%,11.7%,12,123,-1.53%,-2.01%,-5.03%,-5.21%,88.10,90.41,39.32,129.73,-3.3%,46%,11%,16%,0.79,AA,4.59%,131.8,41.4,-19.4%,20,日月转债,
177,寒锐转债!!,123017,2018-12-24,寒锐钴业,300618,有色金属,小金属,118.537,0.93%,-0.32%,52.6,1.06%,12,2.5%,110.8,57.48,8.15,91.51,29.5%,转股中,4.44年,2.44年,2.8%,2.6%,4.0,142,-1.54%,-1.97%,-5.19%,-5.41%,90.48,88.63,17.17,105.80,12.0%,71%,33%,16%,0.57,AA-,5.27%,145.6,55.1,4.4%,15,寒锐转债!!,
103,英联转债,128079,2019-11-21,英联股份,002846,造纸包装,包装材料,128.203,-0.75%,1.32%,17.01,0.65%,64,23.9%,117.9,13.41,4.88,126.85,1.1%,转股中,5.36年,3.36年,6.3%,8.0%,2.1,33,-1.58%,-2.15%,-5.81%,-6.01%,81.45,81.56,56.67,138.23,-7.3%,63%,<2%,18%,0.87,A+,7.29%,129.6,48.0,1.7%,21,英联转债,
219,航电转债,110042,2018-01-15,中航电子,600372,航空航天,航空航天,115.7,0.09%,0.35%,13.37,0.91%,0.4,0.0%,109.3,14.18,3.15,94.29,22.7%,转股中,3.53年,1.53年,10.2%,9.6%,24,235,-1.63%,-2.11%,-6.76%,-7.05%,97.37,97.78,12.27,110.06,5.1%,35%,26%,16%,0.48,AAA,3.27%,137.1,39.3,-0.4%,11,航电转债,
109,游族转债!,128074,2019-10-21,游族网络,002174,通信互联,互联网,131.31,0.85%,-1.61%,21.78,-0.95%,120,8.1%,120.3,17.06,3.82,127.67,2.9%,转股中,5.28年,3.28年,5.9%,7.6%,12,194,-1.68%,-2.32%,-6.66%,-6.85%,89.09,95.37,43.37,138.74,-5.4%,47%,<2%,17%,0.79,AA,4.59%,135.0,39.6,8.9%,24,游族转债!,
18,裕同转债,128104,2020-04-28,裕同科技,002831,造纸包装,包装材料,126.99,0.47%,0.17%,27.16,0.85%,22,1.2%,115.3,23.24,3.69,116.87,8.7%,4月2天,5.82年,3.82年,5.9%,6.9%,14,238,-1.68%,-2.13%,-4.98%,-5.14%,88.61,91.72,37.25,128.97,-1.5%,62%,16%,17%,0.74,AA+,4.09%,137.1,45.4,8.1%,7,裕同转债,
231,国祯转债!,123002,2017-12-25,国祯环保,300388,城市公用,三废处理,116.61,0.92%,1.86%,9.44,3.96%,8.3,1.7%,109.8,8.60,1.84,109.77,6.2%,转股中,3.45年,1.45年,6.5%,7.1%,4.2,64,-1.76%,-2.27%,-7.70%,-7.98%,95.90,95.32,24.48,119.80,-2.7%,50%,16%,16%,0.70,AA,4.27%,123.5,27.5,-0.1%,12,国祯转债!,
87,克来转债,113552,2019-12-19,克来机电,603960,机械装备,机器人及,130.28,-0.02%,-0.50%,25.03,-0.60%,9.0,3.9%,118.5,19.78,7.28,126.54,3.0%,转股中,5.47年,3.47年,2.9%,3.7%,1.8,62,-1.76%,-2.33%,-5.91%,-6.13%,81.32,81.42,56.46,137.89,-5.5%,58%,<2%,17%,0.87,A+,7.29%,134.0,52.6,-6.0%,15,克来转债,
39,康弘转债,128098,2020-03-31,康弘药业,002773,医药,化学制药,128.501,0.94%,0.72%,41.85,2.12%,39,1.9%,116.3,35.30,7.62,118.56,8.4%,3月0天,5.73年,3.73年,4.4%,5.3%,16,366,-1.76%,-2.25%,-5.38%,-5.55%,87.31,90.39,39.26,129.64,-0.9%,43%,17%,16%,0.78,AA,4.59%,138.4,48.1,14.2%,26,康弘转债,
34,永高转债,128099,2020-04-10,永高股份,002641,建筑,建筑行业,125.299,0.16%,1.28%,6.89,1.92%,15,1.7%,113.2,6.16,2.27,111.85,12.0%,3月6天,5.74年,3.74年,9.0%,10.1%,7.0,77,-1.78%,-2.19%,-4.76%,-4.93%,87.15,87.91,36.20,124.10,1.0%,40%,21%,17%,0.75,AA,4.59%,138.7,50.8,-2.6%,10,永高转债,
62,麦米转债,128089,2020-01-21,麦格米特,002851,电子,电子行业,125.1,-1.79%,-2.75%,23.76,-5.53%,65,7.9%,113.3,20.31,5.57,116.99,6.9%,19天,5.54年,3.54年,5.9%,6.9%,6.6,112,-1.81%,-2.23%,-4.96%,-5.14%,85.05,84.36,43.03,127.39,-1.8%,61%,<2%,16%,0.82,AA-,5.59%,133.2,48.2,-11.5%,19,麦米转债,
194,万顺转债,123012,2018-08-29,万顺新材,300057,造纸包装,包装材料,119.56,0.47%,-0.80%,4.91,-0.61%,83,54.7%,110.9,5.31,0.98,92.47,29.3%,转股中,4年37天,2年37天,3.9%,3.6%,1.3,33,-1.86%,-2.33%,-6.27%,-6.53%,92.16,90.28,19.35,109.63,9.1%,41%,32%,18%,0.53,AA-,5.27%,146.7,54.5,0.0%,17,万顺转债,
19,瀚蓝转债,110069,2020-05-07,瀚蓝环境,600323,城市公用,三废处理,126.55,0.09%,0.91%,22.61,1.39%,6.7,0.5%,113.5,20.42,2.59,110.72,14.3%,4月2天,5.82年,3.82年,5.7%,6.3%,9.9,173,-1.87%,-2.28%,-5.24%,-5.34%,87.23,90.14,31.47,121.61,4.1%,29%,24%,16%,0.72,AA+,4.09%,142.4,52.2,2.4%,7,瀚蓝转债,
7,春秋转债,113577,2020-05-13,春秋电子,603890,电子,电子行业,131.73,-1.06%,-0.75%,14.92,-2.10%,28,8.8%,118.2,11.06,2.60,134.90,-2.4%,4月9天,5.84年,3.84年,4.2%,5.7%,2.4,57,-1.88%,-2.40%,-5.76%,-5.94%,83.94,86.63,59.18,145.81,-9.7%,65%,<2%,18%,0.86,AA-,5.59%,128.6,41.9,-7.1%,7,春秋转债,
86,烽火转债,110062,2019-12-25,烽火通信,600498,通信互联,通信设备,123.09,0.60%,-1.53%,28.64,-1.31%,58,1.5%,111,25.99,3.18,110.20,11.7%,转股中,5.47年,3.47年,9.2%,10.1%,31,335,-1.90%,-2.26%,-4.69%,-4.86%,91.14,91.84,29.82,121.66,1.2%,43%,17%,16%,0.71,AAA,3.59%,136.0,44.1,-5.9%,23,烽火转债,
164,中天转债!,110051,2019-03-22,中天科技,600522,通信互联,通信设备,125.01,-0.04%,0.10%,11.53,0.09%,40,0.8%,113.9,10.19,1.71,113.15,10.5%,转股中,4.71年,2.71年,11.2%,12.7%,40,354,-1.99%,-2.50%,-6.43%,-6.64%,93.04,96.00,28.97,124.96,0.0%,39%,17%,16%,0.71,AA+,3.77%,136.9,40.9,-2.8%,33,中天转债!,
186,机电转债!,128045,2018-09-14,中航机电,002013,航空航天,航空航天,119.63,-0.14%,-0.47%,7.77,-1.02%,4.9,0.2%,109.8,7.63,2.97,101.83,17.5%,转股中,4.21年,2.21年,7.5%,7.6%,21,280,-2.06%,-2.48%,-6.06%,-6.30%,95.78,96.18,19.21,115.39,3.7%,47%,22%,16%,0.60,AAA,3.27%,137.4,41.2,-4.7%,9,机电转债!,
